cell	seurat_clusters	celltype
c1096	3	Oligo
c1097	2	eL6
c1098	4	eL5
c1099	6	eL4
c1100	10	eL2/3
c1101	10	eL2/3
c1102	2	eL6
c1103	2	eL6
c1104	9	eL2/3
c1105	12	Micro
c1106	8sub5	NPY
c1107	2	eL6
c1108	4	eL5
c1109	5	Astro
c1110	12	Micro
c1111	11	Oligo
c1112	1	Endo
c1113	10	eL2/3
c1114	7	eL4
c1115	2	eL6
c1116	9	eL2/3
c1117	9	eL2/3
c1118	4	eL5
c1119	6	eL4
c1120	3	Oligo
c1121	2	eL6
c1122	5	Astro
c1123	8sub6	PVALB
c1124	5	Astro
c1125	3	Oligo
c1126	1	Endo
c1127	10	eL2/3
c1128	5	Astro
c1129	9	eL2/3
c1130	3	Oligo
c1131	8sub1	PVALB
c1132	8sub4	RELN
c1133	4	eL5
c1134	4	eL5
c1135	3	Oligo
c1136	6	eL4
c1137	4	eL5
c1138	1	Endo
c1139	9	eL2/3
c1140	11	Oligo
c1141	7	eL4
c1142	10	eL2/3
c1143	3	Oligo
c1144	7	eL4
c1145	6	eL4
c1146	2	eL6
c1147	4	eL5
c1148	5	Astro
c1149	6	eL4
c1150	4	eL5
c1151	2	eL6
c1152	6	eL4
c1153	5	Astro
c1154	8sub2	SST
c1155	10	eL2/3
c1156	10	eL2/3
c1157	5	Astro
c1158	4	eL5
c1159	6	eL4
c1160	4	eL5
c1161	8sub6	PVALB
c1162	6	eL4
c1163	6	eL4
c1164	4	eL5
c1165	6	eL4
c1166	5	Astro
c1167	5	Astro
c1168	3	Oligo
c1169	6	eL4
c1170	1	Endo
c1171	7	eL4
c1172	7	eL4
c1173	2	eL6
c1174	8sub4	RELN
c1175	7	eL4
c1176	5	Astro
c1177	5	Astro
c1178	3	Oligo
c1179	11	Oligo
c1180	4	eL5
c1181	6	eL4
c1182	5	Astro
c1183	2	eL6
c1184	3	Oligo
c1185	4	eL5
c1186	8sub3	VIP
c1187	10	eL2/3
c1188	2	eL6
c1189	7	eL4
c1190	7	eL4
c1191	4	eL5
c1192	10	eL2/3
c1193	13	Smc
c1194	3	Oligo
c1195	10	eL2/3
c1196	2	eL6
c1197	11	Oligo
c1198	5	Astro
c1199	9	eL2/3
c1200	4	eL5
c1201	4	eL5
c1202	5	Astro
c1203	3	Oligo
c1204	9	eL2/3
c1205	7	eL4
c1206	10	eL2/3
c1207	4	eL5
c1208	1	Endo
c1209	6	eL4
c1210	1	Endo
c1211	8sub2	SST
c1212	10	eL2/3
c1213	6	eL4
c1214	7	eL4
c1215	10	eL2/3
c1216	8sub3	VIP
c1217	12	Micro
c1218	12	Micro
c1219	9	eL2/3
c1220	2	eL6
c1221	10	eL2/3
c1222	10	eL2/3
c1223	6	eL4
c1224	3	Oligo
c1225	1	Endo
c1226	4	eL5
c1227	3	Oligo
c1228	4	eL5
c1229	11	Oligo
c1230	4	eL5
c1231	9	eL2/3
c1232	12	Micro
c1233	3	Oligo
c1234	8sub1	PVALB
c1235	12	Micro
c1236	4	eL5
c1237	1	Endo
c1238	3	Oligo
c1239	8sub1	PVALB
c1240	2	eL6
c1241	1	Endo
c1242	4	eL5
c1243	4	eL5
c1244	12	Micro
c1245	9	eL2/3
c1246	2	eL6
c1247	4	eL5
c1248	1	Endo
c1249	5	Astro
c1250	1	Endo
c1251	13	Smc
c1252	1	Endo
c1253	3	Oligo
c1254	11	Oligo
c1255	5	Astro
c1256	3	Oligo
c1257	12	Micro
c1258	2	eL6
c1259	2	eL6
c1260	4	eL5
c1261	10	eL2/3
c1262	5	Astro
c1263	7	eL4
c1264	9	eL2/3
c1265	3	Oligo
c1266	10	eL2/3
c1267	1	Endo
c1268	10	eL2/3
